recipe_slug	score_bound
falafel	1.9288272859791729
spamburger	2.3145444675698137
bacon-fried-rice	2.3940977991733847
chicken-fingers	1.9790789886298708
apple-crisp	2.3885833464353685
cranberry-apple-crisp	2.468026068457791
bacon-chocolate-chip-cookies	2.6277125477738363
sujebi	2.0209693083910167
pasta-primavera	1.8790627470461068
ramen	2.114308111885741
brownies	2.4810376373469385
bacon-wrapped-scallops	2.2942963744753957
bacon-egg-muffins	2.377145567676653
breakfast-burritos	2.5567913647398557
bolognese-sauce	1.9312508809736155
croissants	2.191068509336884
bacon-souffle	2.3207109702017226
souffle	2.2117065019949838
chocolate-souffle	2.207768342618527
butter-croissants	1.9525895913949027
pickled-green-beans	1.9790684198624715
fried-oysters	1.9602412502745226
peanut-butter-brownies	2.2827056530095895
almond-chip-cookies	2.153863042548871
guacamole	1.8839735218009632
brioche-bread	2.036327933235684
brioche-bread-with-chocolate	2.4616742957745417
asparagus-quiche	2.3108012449764708
asparagus-burger	2.1619820712901228
ma-la-chicken	2.069647939542515
cold-noodles-with-tomatoes	2.2748231048533825
tamales	2.118680003311841
enchiladas	1.9989541172010123
tacos	2.257258981918976
burritos	2.0371116916569605
peanut-butter-cupcakes	2.322103585441776
pickled-asparagus	1.959279762322645
chocolate-peanut-butter-cake	2.6275405737121025
udon	1.9444991432581964
vegetable-lasagna	1.6621954085870405
maple-bacon-donuts	2.512532012857733
maple-bacon-pancakes	2.3349633677740815
spinach-and-ricotta-stuffed-shells	1.7497072136440313
quesadillas	2.2414985045132276
pico-de-gallo	1.9477857417569098
nachos	2.16503747137564
cold-soba-noodles-with-tomato-and-cucumber	1.985223880961789
fajitas	1.8835954464614901
loaded-nachos	2.0193400523516885
lasagna	2.062939858856052
chicken-nuggets	2.0717776055572026
pain-au-chocolat	2.301934165618004
nacho-dip	2.166234671490719
nacho-salad	2.248471712679832
nacho-casserole	2.0262911740519476
nacho-fries	2.266769296965636
tempura-udon	1.976600551479989
peach-crisp	2.1555795397687154
apple-pie	2.469328163365989
blueberry-crisp	2.071501956825702
berry-crumble	1.9662021964389718
strawberry-rhubarb-crisp	2.470884209721298
peach-cobbler	2.1351702213975696
cranberry-sauce	2.062282825083707
cherry-cobbler	2.0550164693135304
apple-crumble	2.4977956809354147
chocolate-croissants	2.5726010476282504
french-toast	2.185064696260787
chocolate-babka	2.8270248704385397
cinnamon-babka	2.2480225129319313
blueberry-crumble	1.9936410149948989
spam-musubi	2.05813962573314
taco-salad	2.271826485748008
chiles-rellenos	2.185546262939513
almond-croissants	2.0959896021266813
cranberry-relish	2.0407672388840528
ma-la-beef	2.0304483092029804
chocolate-cake	2.6138195497918857
spinach-quiche	2.333410424230003
mushroom-quiche	2.1293467569813216
quiche-lorraine	2.401292447415013
croissant-aux-amandes	1.887829418243458
danishes	2.3535067651357204
spinach-and-feta-quiche	2.0986119795095006
cold-sesame-noodles	1.9970625962150688
soba-noodle-salad-with-peanut-dressing	1.9997949351794755
dan-dan-noodles	2.098759618174127
vanilla-souffle	2.315237664562008
bacon-wrapped-dates	2.456238215880716
cherry-pie	2.1692457088098562
berry-crisp	2.203871834813511
bacon-and-egg-breakfast-sandwich	2.517867677667403
bacon-wrapped-shrimp-skewers	1.8933502101551773
bacon-wrapped-chicken	2.3169053317916672
bacon-wrapped-asparagus	2.3125832422356454
bacon-mac-and-cheese	2.4265537855905905
chicken-alfredo-lasagna	1.9555037081705733
classic-beef-lasagna	1.8959521874975005
vegetarian-mushroom-lasagna	1.7595962192442978
spinach-and-ricotta-lasagna	1.7581080883503029
