recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.27009263523874	0.0
quesadillas	7.235617062396761	0.5
ma-la-chicken	7.161006675290388	0.0
chocolate-babka	6.96276828977956	1.0
pain-au-chocolat	7.011034397123167	0.5
spamburger	6.963912358091584	0.5
bacon-fried-rice	6.887692292819903	1.0
nacho-fries	6.7481360569272635	0.5
cranberry-sauce	6.736352649463445	0.5
asparagus-quiche	6.665297254157228	1.0
asparagus-burger	6.584560737138538	0.5
strawberry-rhubarb-crisp	6.534876037550791	1.0
apple-pie	6.4977130592700725	1.0
bacon-wrapped-chicken	6.450642743649426	1.0
brioche-bread	6.409332629327821	1.0
mushroom-quiche	6.382659197100462	1.0
bacon-wrapped-asparagus	6.333398351356953	1.0
guacamole	6.297844920547734	0.5
cold-noodles-with-tomatoes	6.200342151574016	0.5
apple-crisp	6.1908766277792555	1.0
tamales	6.1057505802650605	0.5
taco-salad	6.041871529269442	0.5
bacon-mac-and-cheese	5.9294929553514475	1.0
dan-dan-noodles	5.919776605846755	0.5
chicken-nuggets	5.858200733581493	0.5
croissants	5.828942053794604	1.0
quiche-lorraine	5.755560358490432	1.0
spam-musubi	5.740317285769169	0.5
cranberry-apple-crisp	5.737600865086371	1.0
bacon-wrapped-shrimp-skewers	5.715040205740748	0.5
tacos	5.714210304208725	0.5
spinach-quiche	5.674999065036803	1.0
peanut-butter-cupcakes	5.635263960564708	1.0
fajitas	5.5982131655903045	0.5
croissant-aux-amandes	5.5842908121394546	1.0
danishes	5.535084172052444	0.5
breakfast-burritos	5.503368441926244	0.5
sujebi	5.435809180400623	0.5
souffle	5.390277127698061	1.0
nacho-salad	5.343488660016405	0.5
vanilla-souffle	5.306063499203796	1.0
cherry-pie	5.293556689415201	1.0
soba-noodle-salad-with-peanut-dressing	5.2857909974464485	0.0
nachos	5.277184150620027	0.5
brownies	5.230987877708158	1.0
enchiladas	5.1772387057805975	0.5
brioche-bread-with-chocolate	5.174541493186442	1.0
spinach-and-ricotta-lasagna	5.12518152315712	0.5
bacon-egg-muffins	5.063677743055148	1.0
loaded-nachos	5.047697656247562	0.5
peach-crisp	5.024009709397772	1.0
bacon-wrapped-scallops	5.012975326570529	1.0
chocolate-peanut-butter-cake	4.953187823316682	1.0
maple-bacon-donuts	4.895757497382424	1.0
french-toast	4.874098652412139	0.5
pickled-green-beans	4.796142049861536	0.0
ma-la-beef	4.756309843230346	0.0
bacon-and-egg-breakfast-sandwich	4.736571240642484	1.0
cold-sesame-noodles	4.740936946850863	0.5
chiles-rellenos	4.723886582232102	0.5
almond-chip-cookies	4.705636279123419	1.0
falafel	4.704769772965728	0.5
bolognese-sauce	4.694909033672409	0.5
almond-croissants	4.655967343968321	1.0
burritos	4.647925559249895	0.5
chicken-fingers	4.641576160584265	0.5
tempura-udon	4.6170231550152225	0.0
spinach-and-feta-quiche	4.588432355722827	1.0
cranberry-relish	4.555329672581882	0.5
maple-bacon-pancakes	4.487442045589156	1.0
bacon-wrapped-dates	4.488270646580199	1.0
chicken-alfredo-lasagna	4.479258319758311	0.5
berry-crisp	4.456359905751551	1.0
peach-cobbler	4.407832651738951	1.0
fried-oysters	4.388938750101653	0.0
cold-soba-noodles-with-tomato-and-cucumber	4.360989183430354	0.0
chocolate-croissants	4.344155270940542	1.0
udon	4.265998580645544	0.0
bacon-chocolate-chip-cookies	4.259569788880918	1.0
nacho-casserole	4.237211097352302	0.5
pickled-asparagus	4.178568308588404	0.0
nacho-dip	4.168164862527548	0.5
classic-beef-lasagna	4.125029789696572	0.5
blueberry-crisp	4.100781320027817	1.0
chocolate-cake	4.051458150666949	1.0
cherry-cobbler	4.0066872549708785	1.0
pasta-primavera	3.9834897042458026	0.5
pico-de-gallo	3.9676179152002478	0.5
peanut-butter-brownies	3.8471544038041268	1.0
lasagna	3.772038937625877	0.5
cinnamon-babka	3.6364368029522574	1.0
blueberry-crumble	3.6219810269764854	1.0
chocolate-souffle	3.4993485119329053	1.0
bacon-souffle	3.4484536333539206	1.0
vegetarian-mushroom-lasagna	3.3463552475483334	0.5
berry-crumble	3.302472887024331	1.0
butter-croissants	3.1754039244571954	1.0
spinach-and-ricotta-stuffed-shells	3.1258687994755165	0.5
vegetable-lasagna	2.6548002037969494	0.5
